model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11,label12,label13,label14,label15,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7,prediction8,prediction9,prediction10,prediction11,prediction12,prediction13,prediction14,prediction15
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,80.1,80.10353225189232,,A,AB,ABC,ABCD,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,80.1,80.10372848810856,,A,AB,ABC,ABCD,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,80.1,80.1039247243248,,A,AB,ABC,ABCD,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,80.1,80.10981181081199,,A,AB,ABC,ABCD,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,80.1,80.119623621624,,A,AB,ABC,ABCD,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,80.1,80.129435432436,,A,AB,ABC,ABCD,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,80.1,80.13924724324801,,A,AB,ABC,ABCD,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,80.1,80.15887086487201,,A,AB,ABC,ABCD,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,80.1,80.17849448649602,,A,AB,ABC,ABCD,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,80.1,80.19811810812003,,A,AB,ABC,ABCD,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
